series,method,roughness,roughness_ratio_to_raw,mean_abs_change_from_raw,std
soap,raw,20.755102040816325,1.0,0.0,19.62956953170395
soap,moving_average,5.832653061224489,0.28102261553588986,13.315999999999999,9.904281902288522
soap,kalman,2.1953273488324085,0.10577290077953591,15.706952387170634,4.588618909428448
soap,savitzky_golay,7.5685131195335265,0.36465795757831154,11.380000000000003,13.388375537998815
soap,haar_wavelet,2.681047201373323,0.1291753322195603,14.18366774025863,5.440375465186878
soap,lms,9.770868124804586,0.47076945734063397,17.93992277792132,15.766383288974943
powder,raw,4.979591836734694,1.0,0.0,4.49070150421958
powder,moving_average,0.8897959183673474,0.17868852459016402,2.892,2.0456431751407678
powder,kalman,0.46513118754890387,0.09340749258154217,3.198199336135719,1.4621609925128471
powder,savitzky_golay,1.4917395529640423,0.29957064793130356,2.7647619047619054,2.700067858389728
powder,haar_wavelet,0.1365290909843665,0.02741772728784409,3.583100745417661,0.31771666354774114
powder,lms,2.5408715201294645,0.5102569855997695,3.978473623952029,3.4375514981939004
cleaner,raw,4.020408163265306,1.0,0.0,3.3955264687526734
cleaner,moving_average,0.8816326530612243,0.21928934010152282,2.136,1.6489317754231076
cleaner,kalman,0.3538821846571891,0.08802145709747344,2.370734494867297,1.1693545683101139
cleaner,savitzky_golay,1.2108843537414968,0.3011844331641287,1.980952380952382,2.1499986816427947
cleaner,haar_wavelet,0.15995788157299562,0.03978647815775018,2.5911867791714385,0.4295137089616922
cleaner,lms,1.720746122382886,0.4280028426231544,2.742680728959243,2.6751211997570903
paint,raw,2.2653061224489797,1.0,0.0,1.786728854639114
paint,moving_average,0.38367346938775676,0.1693693693693701,1.3079999999999992,0.7660391634897018
paint,kalman,0.23316634555918658,0.10292928767928056,1.3837718353400328,0.7566807987322964
paint,savitzky_golay,0.5043731778425661,0.22265122265122286,1.2866666666666657,0.953924463511744
paint,haar_wavelet,0.17385326924955216,0.07674603777682933,1.3803769713916,0.3736364387633988
paint,lms,0.9639733002798331,0.425537763186593,1.672402680633697,1.2469003586671175
foam,raw,2.122448979591837,1.0,0.0,1.98997487421324
foam,moving_average,0.48571428571428593,0.22884615384615392,1.388,0.9695277200781834
foam,kalman,0.22219354104841318,0.10468734145550236,1.3524239396027666,0.4787940934853682
foam,savitzky_golay,0.7269193391642375,0.3424908424908426,1.260000000000001,1.2484508314138962
foam,haar_wavelet,0.21171476180182072,0.09975022431047322,1.3658636070747332,0.4204849759714086
foam,lms,1.0489926860039345,0.49423693859800755,1.6826026761007782,1.6707706604296646
profit,raw,1.9765306122448978,1.0,0.0,1.9070633650720679
profit,moving_average,0.5065795918367344,0.2562973670624676,1.4038199999999994,0.8635970664980283
profit,kalman,0.24575706496799835,0.12433759611184222,1.4780853069180768,0.40788914604734794
profit,savitzky_golay,0.6631205053449947,0.3354972097253974,1.232117142857144,1.1768023368321865
profit,haar_wavelet,0.12925929896813323,0.06539706401072307,1.530735481789156,0.2775809534509653
profit,lms,0.9739942678276312,0.49277975346983927,1.7855978246953044,1.3969516307096626
